a	b	score
RALGAPA2	RALGAPB	948
ESF1	DDX27	959
ESF1	NOP56	940
AURKA	NINL	919
AURKA	CEP250	934
AURKA	TPX2	999
AURKA	CDC25B	981
AURKA	PSMF1	900
AURKA	UBE2C	996
AURKA	PSMA7	909
AURKA	MAPRE1	981
GSS	GGT7	985
PROCR	THBD	983
MYBL2	E2F1	974
MYBL2	RBL1	987
CSTF1	SRSF6	908
CSTF1	PRPF6	901
CSTF1	CRNKL1	901
CSTF1	SNRPB	906
CSTF1	CTNNBL1	907
CSTF1	SNRPB2	920
CTSZ	NAPB	900
TUBB1	PFDN4	908
UBOX5	UBE2C	900
UBOX5	RBCK1	908
UBOX5	ITCH	926
UBOX5	RNF114	903
UBOX5	UBE2V1	925
PTK6	ELMO2	901
PTK6	PTPN1	935
PTK6	SRMS	902
TRIB3	NCOA6	901
TRIB3	HELZ2	927
MACROD2	FLRT3	910
PROKR2	GNRH2	910
PROKR2	AVP	904
PROKR2	NTSR1	900
PROKR2	EDN3	905
PROKR2	OXT	900
PROKR2	PLCB4	907
PROKR2	PLCB1	907
PROKR2	ADRA1D	900
PDYN	SSTR4	903
PDYN	NPBWR2	908
PDYN	HRH3	909
PDYN	OPRL1	967
OXT	NTSR1	923
OXT	PLCB4	905
OXT	EDN3	925
OXT	PLCB1	908
OXT	ADRA1D	912
OXT	AVP	918
OXT	GNRH2	924
CHMP4B	MAP1LC3A	908
LBP	BPI	904
LBP	CEBPB	912
SLC32A1	DNAJC5	918
SLC32A1	SNAP25	952
AHCY	DNMT3B	923
PIGU	PIGT	994
GHRH	MC3R	924
GHRH	AVP	948
RPN2	RPS21	903
RPN2	PSMA7	912
MC3R	AVP	914
SYS1	NAPB	900
SYS1	ARFRP1	934
SYS1	STX16	906
PLCG1	HCK	969
PLCG1	SRC	955
PLCG1	PLCB4	914
PLCG1	GFRA4	900
PLCG1	PLCB1	928
SRSF6	CRNKL1	954
SRSF6	PRPF6	924
SRSF6	CTNNBL1	901
SRSF6	SNRPB	949
SRSF6	NXT1	925
SRSF6	RAE1	929
SRSF6	SNRPB2	964
MOCS3	NFS1	988
RNF114	RBCK1	900
RNF114	ITCH	900
RNF114	UBE2V1	900
RNF114	UBE2C	900
CDC25B	YWHAB	989
GNRH2	ADRA1D	900
GNRH2	EDN3	900
GNRH2	PLCB1	900
GNRH2	NTSR1	900
GNRH2	AVP	910
GNRH2	PLCB4	900
SNRPB2	PRPF6	970
SNRPB2	CRNKL1	979
SNRPB2	CTNNBL1	902
SNRPB2	SNRPB	993
DEFB129	DEFB126	958
DEFB129	DEFB118	946
DEFB129	DEFB115	900
DEFB129	DEFB132	942
DEFB129	DEFB128	944
DEFB129	DEFB121	947
DEFB129	DEFB116	900
DEFB129	DEFB127	954
DEFB129	DEFB119	927
DEFB129	DEFB123	958
DEFB129	DEFB125	968
DEFB129	DEFB124	935
TAF4	PHF20	900
LAMA5	PRNP	900
LAMA5	SRC	912
ADRM1	PSMF1	919
ADRM1	PSMA7	995
DEFB118	DEFB124	908
DEFB118	DEFB121	944
DEFB118	DEFB126	981
DEFB118	DEFB115	900
DEFB118	DEFB119	916
DEFB118	DEFB132	931
DEFB118	DEFB125	961
DEFB118	DEFB128	926
DEFB118	DEFB123	951
DEFB118	DEFB127	967
DEFB118	DEFB116	900
ACSS2	ACSS1	906
HSPA12B	RAE1	906
SNAP25	STX16	938
SNAP25	DNAJC5	958
SNAP25	NAPB	934
NXT1	RAE1	977
SSTR4	HRH3	901
SSTR4	OPRL1	900
SSTR4	NPBWR2	902
DOK5	GFRA4	904
PRPF6	CRNKL1	923
PRPF6	CTNNBL1	932
PRPF6	SNRPB	994
NINL	TPX2	904
NINL	CEP250	927
NINL	MAPRE1	900
MYL9	MYLK2	950
TPX2	UBE2C	904
TPX2	CEP250	907
TPX2	MAPRE1	905
ZNF217	DNTTIP1	908
CEBPB	HELZ2	901
CEBPB	UBE2C	900
CEBPB	NCOA3	911
CEBPB	ID1	915
