sym	name	type	EnsemblID	EntrezGeneID	OMIMID	RefSeqID	UniProtID	UCSCID	start	end	strand	GO_C	GO_F	GO_P	HPAclass	HPAlocation	HPAprognostic	HPAcancerCat	HPAtissueCat	HPAspecificExpr	HPAnonSpecificExpr
AAR2	AAR2 splicing factor homolog	protein	ENSG00000131043	25980	617365	NM_001271874	Q9Y312	uc002xfc.4	36236459	36270918	1	GO:0032991	NA	GO:0022618	Predicted intracellular proteins	Cytosol	Liver cancer:1.83e-6 (unfavourable)	Expressed in all	Expressed in all	NA	smooth muscle: 41.9
ABHD12	abhydrolase domain containing 12	protein	ENSG00000100997	26090	613599	NM_001042472	Q8N2K0	uc002wus.3	25294743	25390983	-1	GO:0005737	GO:0003674	GO:0006629	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins	NA	Cervical cancer:1.30e-5 (favourable), Breast cancer:3.81e-5 (unfavourable), Liver cancer:7.18e-4 (unfavourable)	Expressed in all	Expressed in all	NA	epididymis: 137.3
ABHD16B	abhydrolase domain containing 16B	protein	ENSG00000183260	140701	NA	NM_080622	Q9H3Z7	uc002ygx.3	63861498	63862988	1	NA	GO:0003674	NA	Plasma proteins, Predicted intracellular proteins	Nucleoplasm	NA	Not detected	Mixed	NA	testis: 5.7
ACOT8	acyl-CoA thioesterase 8	protein	ENSG00000101473	10005	608123	NM_005469	O14734	uc002xqa.3	45841721	45857406	-1	GO:0005739	GO:0003674	GO:0006790	Enzymes, Plasma proteins, Predicted intracellular proteins	Vesicles<br>Mitochondria	Renal cancer:3.18e-4 (favourable)	Expressed in all	Expressed in all	NA	cerebral cortex: 30.1
ACSS1	acyl-CoA synthetase short chain family member 1	protein	ENSG00000154930	84532	614355	NM_001252675	Q9NUB1	uc061vwl.1	25006230	25058980	-1	GO:0005575	GO:0016874	GO:0006790	Enzymes, Predicted intracellular proteins, Predicted membrane proteins	NA	Lung cancer:8.33e-5 (favourable), Cervical cancer:9.37e-4 (favourable)	Expressed in all	Expressed in all	NA	placenta: 166.2
ACSS2	acyl-CoA synthetase short chain family member 2	protein	ENSG00000131069	55902	605832	NM_001076552	Q9NR19	uc002xbd.3	34872146	34927962	1	GO:0005654	GO:0016874	GO:0007005	Enzymes, Predicted intracellular proteins, Predicted membrane proteins	Nucleoplasm<br>Vesicles<br>Cytosol	Renal cancer:2.04e-4 (favourable)	Expressed in all	Mixed	NA	adipose tissue: 55.9
ACTL10	actin like 10	protein	ENSG00000182584	170487	NA	NM_001024675	Q5JWF8	uc002wzt.3	33666498	33668525	1	NA	NA	NA	Predicted secreted proteins	NA	NA	Mixed	Tissue enriched	testis: 22.1	prostate: 1.4
ACTR5	ARP5 actin related protein 5 homolog	protein	ENSG00000101442	79913	NA	NM_024855	Q9H9F9	uc002xjd.3	38748442	38772520	1	GO:0005654	GO:0003674	GO:0006259	Predicted intracellular proteins	NA	Liver cancer:1.84e-5 (unfavourable), Renal cancer:1.37e-4 (unfavourable)	Expressed in all	Mixed	NA	testis: 16.5
ADA	adenosine deaminase	protein	ENSG00000196839	100	608958	NM_000022	P00813	uc002xmj.4	44619522	44652233	-1	GO:0005764	GO:0016810	GO:0007568	Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	Plasma membrane<br>Cytosol	Renal cancer:2.94e-14 (unfavourable), Endometrial cancer:1.23e-7 (unfavourable), Liver cancer:6.77e-5 (unfavourable), Lung cancer:2.20e-4 (unfavourable)	Expressed in all	Tissue enriched	duodenum: 487.7	lymph node: 36.5
ADAM33	ADAM metallopeptidase domain 33	protein	ENSG00000149451	80332	607114	NM_001282447	Q9BZ11	uc002wit.5	3667965	3682246	-1	GO:0005575	GO:0008233	GO:0008150	Disease related genes, Predicted membrane proteins, Predicted secreted proteins	Nuclear speckles<br>Plasma membrane	NA	Mixed	Mixed	NA	endometrium: 103.3
